"85","Malta",70,-5,55,-1,63.9,0.8,46.5,2.1,61.6,0.6,53.5,-2.1,83.5,1.7,88,0,85,5,60,0,1,35,35,34,42.2,0.4,14.1,3.6,2.9,33216,0.8,9278.9,68.1,35,19,1,6,9,9,6,0,9,10,0,10,0,0,0,18.8403955568778,10,0,0,0,10,0,0,0,10,0,-19.628069743701,10,0,10,0,10,0,10,0,10,0,9,9,10,0,10,0,10,0,10,0,10,0,0,0,8,3,7,8,10,0,10,0,10,0,9,4,10,0,10,0,10,0,10,0,10,0,10,0,10,0,71.2264665008449,10,0,8,98,20,4,1,26,0,6,5,13,2,6,0,34.5700345980304,7,0,35,0,7,0,35,0,7,0,5,9,5,5.9
"86","Mauritania",25,0,30,0,81.6,1.4,75.3,15.5,48.7,-1.8,50.7,-1.4,77.7,1.1,69,0,50,0,40,0,8,30,25,17.7,28.7,3.6,15.5,6.4,5.4,4288,3.5,492.5,59.1,47,147,4,3,9,6,0,9,9,5,0,10,0,0,0,5,0,10,0,0,0,10,0,0,0,8,0,2,8,7,5,0,0,0,0,0,0,3,4,5,8,5,0,10,0,10,0,0,0,7,7,1,0,4,3,5,0,5,0,5,0,5,0,6,0,23.7793558815808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,99,151,4,0,26,4,39.3992349359739,-15.1062837612144,6,0,28,3,6,0,40,0,6,0,40,0,6,0,5,3,31
"87","Mauritius",60,-5,54,2,92,0.1,81.5,-5.9,77.5,-0.5,65,-3.2,78.7,1.1,88.6,0.2,80,-5,70,0,0.7,15,15,18.6,24.9,1.3,23.4,3.2,3.5,18553,3,418.4,52.8,86,37,1,6,4,9,3,1,8,10,0,10,0,0,0,10,0,10,0,0,0,10,0,0,0,10,0,10,0,10,0,5,0,5,0,5,0,8,3,9,2,5,0,5,0,10,0,0,0,10,0,0,0,8,0,7,5,10,0,10,0,10,0,9,4,24.0654568301462,10,0,10,0,10,0,0,0,0,0,0,0,5,0,5,0,7,72,52,6,7,17,3,8,4,6,5,6,0,25,6,10,0,15,0,8,0,26,0,9,0,7.7
"88","Mexico",50,0,35,1,74.9,-2.9,76.4,-1.6,70.7,-0.8,58.2,-1.7,77.4,-0.2,79.2,-6.4,70,0,60,0,5.4,35,30,19.7,28.1,119.7,2140.6,2.1,3.3,17881,4,22794.7,50.1,85,75,2,0,3,0,3,9,2,3,19,3,0,0,10,0,0,0,7,5,10,0,0,0,10,0,0,0,7,5,10,0,10,0,5,0,5,0,5,0,8,3,6,0,10,0,10,5,2,9,9,0,10,0,0,0,3,7,2,3,10,0,10,0,10,0,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,6,80,89,7,3,15,2,6,4,13,9,10,0,14,6,8,0,35,0,8,0,4.9
"89","Moldova",40,0,35,0,85.4,0.3,55.6,3.8,64.6,-2.2,39.3,-1.3,76,-0.1,73.6,-6.2,55,5,50,0,5.7,18,12,31.5,38.5,3.6,17.7,4.6,5.4,4979,5.1,207.4,31.5,85,75,2,7,3,6,4,5,8,7,3,2,10,0,10,0,0,0,5,0,10,0,0,0,10,0,0,0,9,0,10,0,10,0,5,0,5,0,5,0,8,3,8,7,5,0,10,0,10,0,0,0,10,0,0,0,4,3,4,8,7,5,7,5,7,5,7,4,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,7,6,76,6,5,18,0,6,5,13,3,6,0,25,4,10,0,18,0,4,0,3.4
"90","Mongolia",30,0,39,1,84.4,0.5,51.5,15.9,67.7,-0.5,77.9,-4.8,68,-1.2,70,-4.8,45,-5,60,0,5,10,25,28.8,40.2,2.9,34.8,7.8,14,11882,12.9,507.6,67.3,70,45,2,3,5,0,5,3,7,7,5,7,5,0,10,0,0,0,10,0,10,0,0,0,10,0,0,0,9,0,10,0,10,0,10,0,10,0,10,0,10,0,8,9,10,0,10,5,10,0,0,0,10,0,0,0,5,7,7,0,10,0,10,0,5,0,8,2,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,3,8,0,43,5,4,21,7,7,6,9,2,10,0,4,6,10,0,10,0,8,0,4.8
"91","Montenegro",40,0,42,-2,91.6,-1,39.8,3.1,76.6,-0.5,72,-5.5,82.6,2.9,84.8,0,70,5,50,0,2.6,9,9,26,44.8,0.6,9.4,1.1,1.5,14996,-0.7,497,58.4,34,52,2,5,1,8,2,4,5,10,0,10,0,0,0,7,5,10,0,0,0,10,0,0,0,9,5,22.6287764569181,9.52049533551873,-49.9525754554697,12.5961147511462,16.2560495634706,6.340541206644,8,9,10,0,10,0,1.86402480706211,10,0,3.22001981591942,-4.1853065873879,15.0901992627661,9,0,2,7,0,10,0,10,0,10,0,10,0,10,0,10,0,-18.2626080515124,9,0,7,63,56,5,8,20,4,7.66953832700066,-39.9875280511803,8,0,15,5,10,0,12,0,4,0,42,0,7,0,6,9,4,3,4,0,5,0,6,7,-77.5010089819583,4,8,7,6,4,9,5,9,19.1
"92","Morocco",40,0,39,2,71.5,0.6,65.6,4.6,66.4,-2.4,34.3,0.9,84.1,2.2,81.8,3.6,70,0,60,0,4.1,38,30,22.4,33.9,33.2,252.4,2.9,3.7,7606,0.4,3582.3,63.9,18,127,4,4,3,7,4,2,9,5,1,2,10,0,10,0,0,0,5,0,10,0,0,0,10,0,0,0,9,0,10,0,10,0,0,0,0,0,0,0,6,7,8,4,10,0,5,0,10,0,0,0,10,0,0,0,2,3,3,8,10,0,7,5,7,5,7,3,-34.008687295045,5,0,5,0,5,0,0,0,0,0,0,0,5,0,3,3,5,99,124,4,4,24,9,7,3,10,4,8,0,17,7,5,0,44,0,3,0,51,10.2
"93","Mozambique",30,0,31,1,74.3,-0.9,63.5,-3,55.9,-5,41.9,4,79.5,-2.5,70.8,-4.6,35,-5,50,0,7.1,32,32,22.9,34.9,26.5,31.1,7.4,7.3,1174,2.3,4901.8,55.4,8,130,4,3,6,8,6,3,4,10,0,9,7,0,9,5,0,9,3,2,2,9,4,2,9,8,7,10,0,10,0,5,0,5,0,5,0,8,3,8,6,10,0,10,0,5,0,0,0,10,0,0,0,6,0,4,8,7,5,7,5,7,5,7,6,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,6,66,95,3,4,28,3,9,0,4,1,6,0,25,8,7,0,32,0,5,0,38,0,6,22.6
"94","Namibia",30,0,49,1,64.4,-2.3,63.9,7.9,68.2,3.9,84.5,-6.4,75.1,0.8,83.4,12.2,60,5,40,0,0.8,37,34,32.1,34.7,2.2,23.6,5.3,5.3,10765,5.3,413.7,25.2,90,74,2,5,8,3,1,17,1,10,0,10,0,0,0,7,5,10,0,0,0,10,0,0,0,9,5,10,0,10,0,5,0,5,0,5,0,8,3,7,0,10,0,10,0,10,0,0,0,10,0,0,0,7,0,6,8,18.971717774376,-0.983119682931826,7,5,8,3,7,0,10,0,10,0,10,0,0,0,10,0,5,0,10,0,8,0,7,39,68,4,3,25,4,6,8,12,1,4,0,37,7,6,0,37,0,6,0,37,0,6,0,5,18.6
"95","Nepal",30,0,29,-2,85.1,-0.5,91.1,2.2,64.9,-0.8,47.3,3,70.8,0.3,55.6,-6.2,5,0,30,0,14.7,25,25,15.3,17.2,28.1,66.8,5.5,4.5,2376,9,29.6,26.3,72,92,3,7,4,3,4,3,9,1,2,2,10,0,10,0,0,0,7,5,9,9,0,2,9,9,0,5,9,5,10,0,7,5,10,0,10,0,10,0,9,2,9,3,10,0,10,0,10,0,0,0,10,0,0,0,4,7,4,8,5,0,7,5,5,0,6,7,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,6,91,85,8,2,12,0,9,4,2,6,7,0,24,8,7,0,35,0,7,0,2.7
"96","Netherlands",90,0,83,0,52.7,0.9,34.4,10.6,80,-4.3,64,-2.3,83.4,3.6,88,0,90,0,80,0,1,52,25,37.4,46.8,16.9,798.6,0.9,0.3,47355,0.3,30253.3,68.3,55,6,1,7,8,0,8,5,9,8,0,6,10,0,10,0,0,0,10,0,10,0,0,1,10,0,0,2,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,9,10,0,10,0,10,0,0,0,10,0,0,0,9,3,8,8,10,0,10,0,10,0,9,7,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,3,9,40,1,1,2,35,9,3,5,24,3,8,0,17,5,3,0,52,0,3,0,6.9
"97","New Zealand",95,0,91,0,71,0.6,46,3,91.4,-4.1,85.9,-5.5,88.1,0.5,87.2,0.4,80,0,80,0,1.4,33,28,32.1,42.4,4.5,158.9,3.2,2.2,35152,1.2,3391.3,34,89,1,1,9,7,4,7,9,9,6,1,0,10,0,10,0,0,0,10,0,10,0,0,0,10,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,9,10,0,10,0,10,0,0,0,10,0,0,0,8,7,8,0,10,0,10,0,10,0,9,5,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,3,9,28,6,4,6,24,3,6,3,14,1,8,0,18,0,7,0,33,0,7,0,5.6
"98","Nicaragua",10,0,28,0,78,-0.4,82.8,6.2,61.2,3.2,55.7,-1,69,1.2,86.2,0.8,65,0,50,0,1.9,30,30,20,24,6.2,29.5,4.5,4.7,4736,6,840,32.2,85,75,2,9,3,4,3,8,7,1,7,4,10,0,10,0,0,0,7,5,10,0,0,0,10,0,0,0,9,5,10,0,10,0,5,0,5,0,5,0,8,3,8,3,10,0,10,0,10,0,0,0,10,0,0,0,5,3,4,0,7,5,5,0,7,5,7,0,0,0,5,0,10,0,7,5,10,0,10,0,10,0,10,0,6,9,6,43,103,9,0,9,5,10,0,0,5,7,0,24,3,8,0,30,0,4,0,5.3
"99","Niger",30,0,35,1,76.3,-0.3,76.8,-6.8,39.6,0.4,42.3,1.4,83,1.7,64.6,-1,55,0,40,0,10.2,35,30,15.8,27.8,17.1,17.9,6.9,6.8,1048,-0.9,769,36.4,86,137,4,4,2,8,2,4,4,10,0,5,6,13,3,2,5,7,0,8,9,8,7,6,7,6,8,9,8,7,5,0,0,0,0,0,0,5,8,6,9,10,0,10,0,0,0,0,0,10,0,0,0,4,7,5,3,2,5,2,5,2,5,5,3,-0.0448119028949859,5,0,0,0,2,5,10,0,10,0,10,0,0,0,4,2,5,71,129,6,5,17,8,9,8,1,1,6,0,28,7,7,0,35,0,3,0,46,0,5,0,5.1
"100","Nigeria",30,0,27,2,85.1,-0.1,94.6,18.5,48.7,0.4,72.9,-4.8,71.5,1.1,64.8,1,40,0,40,0,10.1,24,30,3.1,13.4,173.9,1049.1,6.3,6.2,6031,8.1,4693.8,10.5,7,132,4,0,4,2,4,3,6,1,9,8,0,0,5,6,13,1,2,5,6,1,11,6,8,8,6,2,4,6,7,0,7,5,0,0,0,0,0,0,4,8,5,2,5,0,10,0,10,0,0,0,9,9,2,0,5,3,4,5,10,0,10,0,7,5,8,2,-36.7962498364691,5,0,5,0,5,0,0,0,0,0,0,0,5,0,3,3,5,82,128,9,5,7,8,9,9,1,0,2,0,22.3217571142548,9,0,24,0,5,0,38,0,7.5
"101","Norway",90,0,86,0,53.2,1.1,41.8,-2,89.6,-2.5,48.5,0.3,76.2,-5.5,87.8,-1.6,75,0,60,0,1.1,47.8,27,40.8,44,5.2,345.2,2.2,1.5,66937,2,8682.5,30.1,47,10,1,5,8,3,8,6,9,8,0,5,10,0,10,0,0,0,10,0,10,0,0,0,10,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,9,10,0,10,0,10,0,0,0,10,0,0,0,9,3,9,3,10,0,10,0,10,0,9,8,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,34,2,1,5,34,8,5,0,19,0,7,0,21,9,6,0,39,0,3,0,3.4
"102","Oman",55,0,45,-2,98.5,0,36.8,-7.4,70.1,1.7,72.5,-3.6,77.9,1.7,85,8.2,70,5,60,0,2.5,0,12,2.6,45.9,4.1,162.4,2.9,4.5,39681,1,1179.9,5.1,13,129,4,5,9,9,7,0,7,10,0,10,0,0,0,7,5,10,0,0,0,10,0,0,0,9,5,10,0,7,5,0,0,0,0,0,0,5,8,8,4,10,0,10,0,0,0,0,0,10,0,0,0,1,7,3,3,5,0,2,5,5,0,5,3,4.34281363923027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,51,137,0,0,48,3,8,1,7,3,0,0,20.3132725883291,10,0,0,0,10,0,17,0,10,0,4,7.2
"103","Pakistan",30,0,29,1,79,1.3,86.2,0.1,61.2,-4.4,42.1,0,71.5,0.3,65,-0.6,55,5,40,0,10,30,33,10.5,21.4,186.3,882.3,4.1,3.6,4736,8.6,1747,64.2,66,140,4,7,3,8,3,5,8,2,4,4,0,0,8,8,3,5,2,5,8,1,5,8,8,0,9,8,5,5,10,0,5,0,0,0,0,0,0,0,5,0,6,2,5,0,5,0,8,4,3,0,10,0,0,0,3,7,2,5,10,0,7,5,7,5,7,1,10,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,3,8,5,32,143,8,1,12,4,9,2,3,4,6,0,27,2,8,0,30,0,8,0,5.2
"104","Panama",30,0,37,2,84.4,-0.1,77.9,-0.9,74.4,2.9,42.9,1.4,78.6,2.2,77.8,-0.6,75,0,70,0,6.1,25,25,17.7,27.2,3.9,76.4,6.2,8.7,19455,2.6,4718.9,45.6,65,46,2,8,3,3,4,4,6,1,9,7,10,0,10,0,0,0,10,0,10,0,0,0,10,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,8,7,10,0,10,5,10,0,0,0,7,5,1,0,4,3,6,3,10,0,10,0,10,0,8,3,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,3,7,72,53,6,4,18,3,8,6,5,8,8,0,16,7,9,0,25,0,4,0,4.3
"105","Paraguay",30,0,24,0,96.3,0.3,83.3,1.4,62.6,4.2,30.4,4.1,76.8,-1.5,76.2,-5.2,75,0,60,0,4.4,10,10,13.1,23.6,6.9,58.3,4.4,7,8449,5,236.3,21.4,96,72,2,4,1,6,3,9,3,10,0,10,0,0,0,5,0,9,5,1,5,9,9,0,3,8,9,10,0,10,0,5,0,5,0,5,0,8,3,7,8,10,0,5,0,10,0,0,0,10,0,0,0,4,7,4,0,10,0,10,0,10,0,8,4,0,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,7,5,6,97,80,7,4,14,9,8,9,4,7,8,0,16,6,10,0,10,0,7,0,32,0,8,4.5
"106","Peru",40,0,38,0,78.5,-0.1,86.1,-2.4,67.8,0.1,62.9,-0.5,83.7,-0.2,87,0,70,0,60,0,1.5,30,30,18.6,21.5,31.4,371.3,2.4,5.8,11817,3.2,7606.6,20.7,58,47,2,4,3,6,4,7,6,9,7,7,10,0,10,0,0,0,7,5,9,9,0,3,10,0,0,2,9,5,10,0,10,0,5,0,5,0,5,0,8,3,8,2,10,0,10,0,6,9,1,0,10,0,0,0,5,3,5,3,10,0,10,0,10,0,8,2,10,0,10,0,5,0,7,5,10,0,10,0,10,0,10,0,9,4,7,72,51,6,8,17,0,9,7,1,7,6,0,25,1,8,0,30,0,3,0,4.2
"107","Philippines",30,0,38,2,79,-0.1,89.6,0.3,63,7.7,57.1,-1.1,77.7,-1.1,76.4,1,60,0,60,0,4.3,32,30,13.3,18.6,99.4,692.2,6.1,6.3,6962,4.2,6200.5,37.2,92,73,2,7,3,1,3,4,5,6,11,0,5,0,8,2,5,3,2,5,8,7,4,0,8,6,7,0,6,6,10,0,10,0,5,0,5,0,5,0,8,3,6,8,10,0,10,0,7,1,3,0,10,0,0,0,5,3,5,0,10,0,10,0,10,0,8,2,10,0,0,0,0,0,0,0,10,0,10,0,10,0,5,0,6,3,6,50,100,7,9,13,1,9,1,3,8,10,0,13,1,7,0,32,0,7,0,7.1
"108","Poland",65,5,61,1,75.5,-6.6,46.5,-0.6,68.7,1.4,58,-2.4,85.2,3.9,88,0,75,5,70,0,1,32,19,32.7,42.2,38,954.5,3.3,3,25105,0,13882.8,48.8,81,39,1,4,6,2,6,4,9,7,0,7,10,0,10,0,0,0,7,5,10,0,0,0,10,0,0,0,9,5,10,0,10,0,10,0,10,0,10,0,10,0,9,7,10,0,10,0,10,0,0,0,10,0,0,0,6,3,6,5,7,5,10,0,10,0,8,6,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,3,8,35,36,4,9,23,4,5,6,16,6,8,0,18,6,7,0,32,0,1,0,9.2
"109","Portugal",70,0,63,1,60.5,-0.6,24.8,-4,85.3,-2.2,43.5,0.6,85.7,2.9,88,0,70,0,60,0,1,48,23,33.4,50.1,10.4,280.4,0.9,-0.9,26975,-0.2,8807.1,130.2,28,22,1,9,6,4,7,2,9,7,0,6,10,0,10,0,0,0,10,0,10,0,0,0,10,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,9,10,0,10,5,10,0,0,0,10,0,0,0,8,7,8,3,10,0,10,0,10,0,9,6,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,3,9,4,14,5,4,21,6,4,7,19,9,10,0,9,7,4,0,55,0,1,0,14.2
"110","Qatar",65,-5,69,1,99.7,0,70.4,-1.5,71.4,0.9,70.7,-0.5,74.1,-5.6,81.8,0,45,0,60,10,4.1,0,0,5.2,31.4,2.2,320.5,6.1,9.7,143427,3,1040.4,31.5,51,103,3,6,5,9,8,0,4,10,0,10,0,0,0,10,0,10,0,0,0,10,0,0,0,10,0,10,0,7,5,0,0,0,0,0,0,5,8,8,6,5,0,5,0,0,0,0,0,10,0,0,0,3,0,3,3,7,5,7,5,7,5,7,0,11.2231713036192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,53,134,0,0,47,3,9,6,1,9,-7.12095004004765,-8.53939672765398,10,0,0,0,10,0,0,0,10,0,6,5,0.3
"111","Romania",35,-5,43,0,87.5,0.6,65.6,3.3,66.1,-3.7,65.1,-3.5,81.1,3.8,88,0,75,-5,50,0,1,16,16,27.2,33.8,19.9,392.8,2.9,1.4,19712,1.1,3234,40.4,17,24,1,5,5,7,6,3,9,5,1,2,10,0,10,0,0,0,10,0,10,0,0,0,10,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,8,10,0,10,0,10,0,0,0,10,0,0,0,7,0,6,0,10,0,10,0,10,0,9,0,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,3,8,65,31,6,3,18,6,7,0,11,4,7,0,20,8,10,0,16,0,4,0,7
"112","Russia",20,0,27,-1,82.2,-3.9,56.2,-1.6,72.2,-4.1,57.6,-1.3,62.9,-1,72.4,-2.6,25,0,30,0,6.3,13,20,34.8,38.2,143.7,3564.5,0.6,2.8,24805,7.8,20957.7,17.9,27,119,3,3,3,3,4,0,5,7,10,8,0,0,9,8,0,5,5,0,9,9,0,4,9,9,0,4,6,9,10,0,10,0,10,0,10,0,10,0,10,0,7,5,0,0,0,0,10,0,0,0,9,9,2,0,1,7,1,5,5,0,7,5,7,5,6,1,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,3,5,71,130,4,1,26,0,5,2,18,0,10,0,9,7,10,0,13,0,5,0,5.1
"113","Rwanda",30,0,49,-4,80.1,-0.1,77.1,-2.1,60.5,1,82,-2.5,79.4,3.4,67.6,-13.2,65,0,40,0,8.7,30,30,13.9,27.6,11.1,18.8,7,6.8,1698,1.8,267.7,28,97,71,2,5,3,9,0,2,5,10,0,6,4,10,8,5,0,10,0,0,0,10,0,0,0,8,3,10,0,10,0,5,0,5,0,5,0,8,3,8,5,10,0,5,0,5,0,0,0,10,0,0,0,2,3,1,5,7,5,5,0,7,5,6,3,33.0050306484888,5,0,10,0,7,5,10,0,10,0,10,0,10,0,9,2,6,47,101,6,9,16,5,9,5,2,5,0,0,66,9,8,0,30,0,5,0,37,0,6,5,0.6
"114","Saudi Arabia",40,0,49,3,99.7,0,56.8,-5.1,69.9,4.1,68.5,-4.2,69.2,0.8,77.8,1.4,40,0,50,0,3.6,2.5,2.5,4.3,38,30.8,1605.7,3.6,5.3,52183,2.7,8012,1.6,48,146,4,5,9,9,4,1,5,10,0,10,0,0,0,2,5,8,3,5,0,8,8,6,1,7,9,10,0,5,0,0,0,0,0,0,0,5,0,7,4,0,0,0,0,0,0,0,0,8,1,6,0,0,3,2,0,7,5,7,5,5,0,5,8,14.7622952001154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,44,155,0,7,37,6,22.9412734199387,17.8140309908392,6.16549678541653,-13.3693398682235,10,0,0,0,10,0,20,0,10,0,5,4,7,0,5.6
"115","Senegal",40,0,43,2,71.6,0.3,76.1,1.5,49.1,-5.5,42.4,2.9,84.9,1.9,73.8,-0.2,60,0,40,0,8.1,40,30,18.4,28.2,14.5,33.6,4.5,3.4,2311,-0.5,342.7,50.7,50,105,3,6,4,3,4,7,7,0,7,4,10,0,10,0,0,0,5,0,10,0,0,0,10,0,0,0,9,0,7,4,10,0,5,0,5,0,5,0,7,5,7,8,10,0,5,0,10,0,0,0,10,0,0,0,4,0,6,3,10,0,7,5,10,0,8,3,-37.1836085616441,0,0,5,0,2,5,0,0,0,0,0,0,5,0,2,5,6,77,91,6,6,17,6,9,7,1,5,6,0,27,0,5,0,40,0,5,0,40,10
"116","Serbia",50,5,41,-1,84.3,1.9,44.1,17,60.2,2.4,66.2,-4.2,77.5,5.3,77.8,-0.4,70,-5,50,0,6.1,15,15,33.4,43.2,7.2,95.5,-1.8,0.3,13329,2.1,1996.1,72.4,35,51,2,9,3,6,4,4,9,4,1,4,10,0,10,0,0,0,7,5,10,0,0,0,10,0,0,0,9,5,10,0,10,0,5,0,10,0,7,5,9,2,9,4,10,0,10,0,10,0,0,0,10,0,0,0,5,0,4,8,10,0,10,0,10,0,8,5,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,3,7,85,48,6,4,18,1,3,7,23,7,8,0,18,4,10,0,15,0,5,0,22.2
