"117","Seychelles",50,0,55,1,79.3,-0.5,62,2.6,66,-1.7,62.1,-1.8,79.7,3.7,83.4,39.4,55,5,30,0,3.3,15,33,27.5,35.6,0.1,2.4,2.9,5.9,25607,1.4,228.7,64.6,30,54,2,5,4,4,9,12,7,10,0,10,0,0,0,16.4668044356269,10,0,0,0,10,0,0,0,10,0,60.8204113945306,22.9220331058095,2.19073478876908,29.5812985491017,-23.8203197922575,28.1351694022663,7,5,10,0,5,0,16.3848791094859,7,5,7.83787300247882,20.0016764725147,-35.1551626730277,9,9,6,17.6659620040959,37.2253006069072,3.88946259194606,-22.8462311308123,10,0,10,0,10,0,25.8320588843673,10,0,7,37,69,0,0,41,1,7,3,10,4,8,0,20,0,10,0,15,0,10,0,19,0,10,0,6,3,5,0,4,5,5,7,8,2,-76.8165876083163,4,1,7,1,5,9,5,6,1,0,5,56.9885912162028
"118","Sierra Leone",10,0,31,1,81.2,0.4,92.6,5.1,49.9,-3.5,43.2,1.6,70.8,2.3,69.4,-0.8,55,0,20,0,10.3,30,30,8.8,15.7,6.2,12.6,6,10.5,2027,8.3,439.9,38.8,40,112,3,1,3,8,3,9,9,3,1,7,10,0,10,0,0,0,7,5,10,0,0,1,10,0,0,0,9,5,1,2,10,0,5,0,5,0,5,0,5,4,8,1,10,0,10,0,0,4,0,5,0,-11.3293630881816,40.6150024328146,-6.70741789106581,7,3,-1.07348795671139,10,0,10,0,10,0,0,0,10,0,5,0,10,0,8,3,7,4,77,8,6,10,9,10,0,0,3,4,0,35,2,7,0,35,0,4,0,44,0,5,5,7,0,3,2,3,3,4,3.3
"119","Singapore",90,0,84,-2,91.2,0,90.1,-3.7,95,-1.9,90.7,-6.2,81.8,-1.9,90,0,85,0,80,0,0,20,17,13.8,18.2,5.5,452.7,2.9,6.4,82762,1,67523,98.8,16,25,1,1,8,0,7,7,9,9,0,3,10,0,10,0,0,0,10,0,10,0,0,0,10,0,0,0,10,0,10,0,10,0,5,0,5,0,5,0,8,3,9,4,10,0,5,5,10,0,0,0,6,4,2,0,2,0,4,5,7,5,7,5,5,0,6,1,7,0,10,0,10,0,10,0,0,0,10,0,5,0,10,0,8,0,7,48,62,4,8,23,6,8,9,4,7,8,0,19,7,10,0,20,0,10,0,3
"120","Slovenia",60,0,58,1,58.6,0.5,0,0,82,0.8,55.4,-1.7,84.3,3,88,0,70,0,50,0,1,50,17,36.8,59.9,2.1,61.1,2.6,0.2,29658,0.2,1564.3,82.9,94,35,1,9,5,8,6,5,9,8,0,5,10,0,10,0,0,0,7,5,10,0,0,0,10,0,0,0,9,5,10,0,10,0,10,0,10,0,10,0,10,0,9,8,10,0,10,0,10,0,0,0,10,0,0,0,8,0,8,0,10,0,10,0,10,0,9,4,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,3,8,82,23,4,1,26,0,5,0,18,9,8,0,18,1,4,0,50,0,0,0,9.5
"121","South Africa",50,0,44,2,70.1,0.6,69.9,1.7,69.7,-3.3,58.7,-2.9,74.6,-0.3,77,0.4,45,-5,60,0,4,40,28,24.7,31.7,54,704.5,1.5,2.4,13046,6.1,5712.3,45.9,17,63,2,1,5,2,5,7,0,0,34,0,10,0,10,0,0,0,5,0,9,9,0,4,10,0,0,2,9,0,10,0,7,5,10,0,10,0,10,0,9,2,6,0,10,0,10,0,10,0,0,0,10,0,0,0,7,3,5,0,10,0,10,0,10,0,8,9,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,3,7,70,55,4,2,25,8,8,0,7,9,8,0,18,1,4,0,41,0,4,0,25.1
"122","Spain",70,0,60,1,58.3,5.2,41.1,1.3,76,-1.5,51.7,-0.9,84.7,3.4,88,0,85,0,70,0,1,47,30,32.6,44.3,46.5,1566.4,1.4,-0.5,33711,-0.2,22904.1,97.7,16,25,1,6,6,4,7,0,9,7,0,6,10,0,10,0,0,0,10,0,10,0,0,0,10,0,0,1,10,0,10,0,10,0,5,0,10,0,7,5,9,2,9,6,10,0,10,5,10,0,0,0,10,0,0,0,8,0,6,5,10,0,10,0,10,0,9,2,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,3,8,76,27,4,5,24,6,4,6,20,5,10,0,9,7,5,0,45,0,5,0,24.7
"123","Sri Lanka",40,5,38,1,85.1,0.1,90,1.6,70.3,-2.2,56.5,-2.2,71.5,3.3,72.4,0.8,35,5,40,0,6.3,24,28,11.6,18.3,21,217.4,7.4,7.5,10372,3.3,944.2,75.876,27,119,3,5,4,8,4,5,9,0,2,5,5,0,10,0,0,0,5,0,10,0,0,0,10,0,0,1,8,0,10,0,10,0,5,0,5,0,5,0,8,3,8,4,5,0,5,5,10,0,0,0,10,0,0,0,4,3,3,8,7,5,7,5,7,5,7,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,6,4,121,8,5,11,3,9,1,3,8,7,0,23,2,9,0,24,0,8,0,4.6
"124","Sudan",47.1727960150688,-16.4433096226168,11,0,86.4,0,94.8,0.3,48.8,-0.2,43.5,-0.3,46.7,-6.1,50.6,-5,10,-5,32.2824827833689,3.58826433892735,14.7,10,35,6.1,13.1,37.3,159.1,3.4,1.1,4267,36.9,1277.4,74.2,80,157,4,3,2,7,9,5,2,5,0,0,0,33,2,2,5,8,5,4,6,8,9,5,4,5,0,1,2,10,0,0,0,0,0,0,0,3,7,5,5,10,0,5,0,0,0,0,0,10,0,0,0,1,3,1,0,10,0,0,0,7,5,5,7,-1.60663196864905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,157,9,8,6,6,5.71854181059316,10.6172124472465,10,0,5,2,10,0,15,0,7,0,34,0,8,5,9,4,14.8
"125","Suriname",30,-5,36,0,69.4,0.1,70.3,-3.5,48.8,6.6,76.3,-5.6,78.7,1.5,68.4,2.2,30,0,30,0,10.8,38,36,17.9,31.5,0.6,9.2,2.9,4.3,16623,3.4,4.2,34.1,7,67,2,0,5,2,4,9,6,7,8,3,10,0,10,0,0,0,-48.0291538575455,10,0,0,0,10,0,0,0,10,0,-11.6833499756494,-41.9753267000015,5,0,5,0,5,0,5,0,7,2,10,0,10,0,-15.3121407261317,10,6,8,68.9207256080131,-16.8329442325544,9.86740671598177,8,5,128.942780039971,10,0,10,0,10,0,10,0,10,0,10,0,104.183807555501,10,0,7,79,50,4,9,23,5,8,6,5,7,10,0,4,1,5,0,38,0,5,0,40,0,5,0,7,1,4,2,5,3,5,6,5,0,5,0,5.6
"126","Swaziland",40,0,43,4,70.9,-5.5,64.9,-3.7,58.6,-1.9,65.8,-3.5,74.5,0.6,88.8,12.8,50,-5,40,0,0.6,33,27.5,32.6,34.2,1.1,8.6,1.7,1.5,7797,5.8,12.7,16.2,24,122,3,4,7,3,1,17,3,10,0,10,0,0,0,7,5,10,0,0,0,10,0,0,0,9,5,10,0,10,0,0,0,5,0,2,5,7,5,6,7,10,0,5,0,5,0,3,2,5,17.2133273733648,14.1840116713223,9.27500827633423,6,0,7,0,5,0,0,0,2,5,0,0,10,0,5,0,5,0,4,9,6,2,122,5,0,23,0,9,9,1,0,0,0,51,2,7,0,33,0,7,0,33,0,7,0,5,5,4,3,3,8,4,7,5,22.3
"127","Sweden",90,0,87,-2,44.4,1.4,14.9,-4.3,89.7,1.8,53.5,-0.5,87.1,1.6,88,0,85,-5,80,0,1,57,22,42.8,53.2,9.7,448.2,2.1,2.4,45986,-0.2,10036.2,41.5,39,17,1,1,8,0,8,5,9,6,1,1,10,0,10,0,0,0,10,0,10,0,0,0,10,0,0,1,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,9,10,0,10,0,10,0,0,0,10,0,0,0,9,3,8,8,10,0,10,0,10,0,9,7,10,0,10,0,10,0,10,0,10,0,10,0,10,0,5,0,8,8,9,33,3,0,8,37,1,4,6,20,2,8,0,18,2,2,0,57,0,0,0,8
"128","Switzerland",90,0,86,1,70.9,0.6,66.3,1.2,82.2,4.1,72.1,-3.2,87.8,1.5,90,0,85,0,80,0,0,40,24,27.1,33.5,8.1,472.8,2,2,58087,0,21914.3,46.1,79,2,1,8,2,9,8,0,5,10,0,10,0,0,0,10,0,10,0,0,0,10,0,0,0,10,0,10,0,10,0,10,0,5,0,7,5,9,2,9,7,10,0,10,0,10,0,0,0,10,0,0,0,8,7,9,0,10,0,10,0,10,0,9,7,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,3,9,19,10,6,4,18,2,6,3,14,1,10,0,13,0,8,0,26,6,0,35,7,0,7,4.5
"129","Syria",10,0,20,3,442.939434316999,-19.1199114737598,948.387787757059,-486.055168843388,62.4,5.1,46.9,-2.2,42.7,-77.7824097332353,56.6,-1388.39909967329,0,0,20,0,14.2,22,28,-1073.88221808,-704.667473287692,18.1,73,0.4,-59.6398932627086,4020,29.2,-1390704.80313927,2489.24051529431,77,162,4,2,0,9,1,2,2,0,0,0,0,2181,8,0,0,0,0,149,5,0,0,159,3,0,0,10,0,7,5,0,0,0,0,0,0,5,8,5,0,0,0,0,0,0,0,3,0,5,174.184521867602,-210.865964855084,103.373823339863,1,8,-51.2678768409776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,51,161,6,8,16,8,9,0,4,3,2,0,47,9,9,0,22,0,5,0,38,0,7,0,6,2,3,1,3,2,5,9,3,3,245.19729896313
"130","Tajikistan",20,0,23,1,91.6,-0.5,76.9,-5,61.1,-4.3,47.3,0.9,69.8,0.2,68.6,-6,25,0,30,0,5.7,13,15,21,27.7,8.3,22.3,6.7,7.1,2688,6.1,262.7,28.2,19,124,4,3,3,9,4,1,6,5,0,10,0,0,0,2,5,10,0,0,1,10,0,0,0,7,5,10,0,10,0,5,0,5,0,5,0,8,3,8,4,5,0,10,0,10,0,0,0,10,0,0,0,0,7,1,8,2,5,2,5,2,5,4,3,31.5617197568111,10,0,10,0,10,0,10,0,10,0,10,0,5,0,8,3,5,65,132,8,5,11,0,9,1,3,9,0,0,61,0,10,0,13,0,7,0,31,0,8,5,10.9
"131","Tanzania",25,-5,31,-2,79.2,-0.7,88.4,9.1,47.5,2.5,62.6,1.2,67.7,-2,73.2,6.2,60,0,50,0,8.4,30,30,16.8,19.7,47.7,127.1,7.2,6.8,2667,6.1,2141.6,33.2,52,102,3,0,3,9,4,2,7,2,7,0,10,0,10,0,0,0,7,5,10,0,0,1,10,0,0,0,9,5,8,5,7,5,0,0,0,0,0,0,5,3,7,3,10,0,10,0,10,0,0,0,10,0,0,0,3,0,4,5,10,0,10,0,5,0,7,5,0,0,5,0,5,0,5,0,0,0,10,0,5,0,10,0,5,0,6,13,116,6,4,18,4,9,9,0,9,7,0,22,6,8,0,30,0,4,0,3.1
"132","Thailand",40,0,38,3,81.1,-0.4,82.2,0.8,76.3,3.8,62.5,-1,70.9,1,77.6,2.2,50,5,60,0,6.2,35,20,16.2,24.3,68.7,985.5,0.7,3.6,14354,1.9,12565.7,47.2,62,98,3,3,4,0,4,3,8,7,3,2,10,0,9,8,0,7,5,0,10,0,0,0,10,0,0,0,9,0,10,0,10,0,5,0,5,0,5,0,8,3,8,7,10,0,5,5,10,0,0,0,9,9,1,0,1,0,1,8,10,0,10,0,7,5,7,2,0,0,10,0,5,0,7,5,10,0,10,0,10,0,0,0,4,4,6,40,106,4,3,25,2,9,2,3,3,6,0,26,8,7,0,35,0,7,0,0.9
"133","Timor-Leste",20,0,28,-2,64.7,0,0,0,68,8.2,66,-6,70.9,2.2,80,0.4,40,0,20,0,2.5,10,10,318.1,110.5,1.2,6.1,6.6,8.8,4928,2.5,33.9,0,37,114,3,3,3,8,4,3,9,10,0,10,0,0,0,7,5,0,0,94,6,0,0,303,5,5,5,10,0,7,5,5,0,5,0,5,0,7,5,7,1,5,0,10,0,0,0,3,7,3,-49.927273082388,61.3469280936418,-18.1617785876358,8,4,4.0868512482829,5,0,5,0,5,0,10,0,10,0,10,0,5,0,6,7,6,19,113,0,0,47,7,7,5,9,8,7,0,20,7,10,0,10,0,10,0,10,0,10,0,6,1,3,9,3,2,3,0,5,7,4.7
"134","Togo",30,0,29,0,68.7,-1,80.4,2.3,51.4,-0.5,46.2,2.8,79.5,-0.9,71.2,3.4,50,0,30,0,9.4,45,27,19.5,25.5,7,10.1,5.2,5.1,1450,0.1,292.1,54.7,27,119,3,4,1,6,4,9,0,10,0,10,0,0,0,7,5,10,0,0,0,10,0,0,0,9,5,9,6,10,0,5,0,5,0,5,0,8,2,8,0,0,0,10,0,10,0,0,0,10,0,0,0,4,0,5,3,10,0,10,0,10,0,8,5,9.95428138535495,5,0,5,0,5,0,0,0,10,0,5,0,5,0,5,0,6,73,92,7,4,14,7,8,4,6,2,4,0,36,6,7,0,35,0,15.4798671395429,30.0278214443978,7,0,6,7,6.9
"135","Trinidad and Tobago",50,0,38,0,79.4,0.4,62.3,-7,69.5,4.2,72.8,-3.8,68.5,-5.8,78.6,0,60,0,50,0,5.7,25,25,28.4,35.5,1.4,43.4,1.1,0.8,32139,7,2423,37.6,83,81,2,9,3,9,4,7,0,0,30,9,10,0,10,0,0,0,7,5,10,0,0,0,10,0,0,0,9,5,10,0,10,0,5,0,5,0,5,0,8,3,5,9,10,0,10,0,0,7,7,7,3,-5.63783087953996,43.7482793095446,2.07625315482618,8,7,-30.1886802296085,10,0,10,0,10,0,0,0,0,0,0,0,10,0,6,7,6,92,82,7,0,16,3,8,4,6,3,0,0,59,9,9,0,25,0,5,0,40,0,7,0,5,6,5,8,3,2,5,4
"136","Tunisia",40,0,40,-1,74,-0.3,73.4,2.6,81.3,0.1,64,-5.1,75.6,0.8,62.2,1,35,0,30,0,13.9,35,30,21.7,29.8,11,124.3,2.3,1.8,11300,4.9,1060.3,47.5,43,109,3,9,4,3,4,8,8,8,3,0,10,0,7,9,6,3,5,0,7,9,6,2,9,5,2,3,8,1,10,0,7,5,0,0,0,0,0,0,5,8,7,6,10,0,10,0,10,0,0,0,9,1,1,0,4,0,5,5,10,0,7,5,10,0,8,0,-11.7460649343514,5,0,0,0,2,5,0,0,0,0,0,0,10,0,4,2,6,58,98,5,3,21,9,6,4,13,7,7,0,23,1,7,0,35,0,2,0,52,13.3
"137","Turkey",40,-5,45,-5,75.2,-0.9,55.6,-2,65.4,4.4,48.6,-1.6,71.5,-0.9,84.4,-0.2,75,0,60,0,2.8,35,20,29.3,38.5,76.9,1508.1,2.9,5.4,19610,8.9,12146,33.5,47,107,3,4,4,0,4,0,8,3,4,3,10,0,0,0,33,7,2,5,5,8,12,6,3,0,34,9,4,3,10,0,10,0,10,0,10,0,10,0,10,0,7,5,10,0,10,5,7,5,2,0,0,0,81,0,1,0,1,8,5,0,7,5,5,0,4,0,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,3,6,9,118,5,9,19,9,6,4,13,8,7,0,21,7,7,0,35,0,7,0,9.2
"138","Uganda",25,0,26,0,73.2,-0.1,91.5,2.5,40.3,-3,83.7,-3.8,80.1,3.8,72.8,-3.8,60,0,40,0,8.6,40,30,13.4,16.8,38,76.9,4.9,5.2,2023,4.7,1146.6,30.4,77,85,3,5,3,4,3,4,5,4,11,5,5,0,8,9,3,2,7,5,9,4,1,8,9,9,0,5,8,1,9,9,7,5,5,0,5,0,5,0,7,5,7,0,10,0,10,0,10,0,0,0,10,0,0,0,4,0,3,8,10,0,10,0,7,5,7,9,0,0,5,0,5,0,5,0,0,0,0,0,0,0,10,0,3,8,6,13,115,9,2,8,9,10,0,0,4,10,0,13,3,5,0,40,0,3,0,3.8
"139","Ukraine",25,5,26,1,78.6,-0.1,30.6,2.6,56.8,-2.5,47.9,-0.3,66.9,-11.7,85.8,0,20,5,30,0,2.1,20,18,37.6,48.1,42.8,370.8,-6.8,-0.2,8668,12.1,410,71.2,28,118,3,1,3,7,4,5,7,5,6,3,0,0,8,1,5,7,0,0,9,6,1,1,9,8,0,9,5,5,10,0,7,5,10,0,10,0,10,0,9,2,7,4,5,0,10,5,7,8,1,0,10,0,0,0,5,7,3,8,7,5,7,5,7,5,7,1,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,3,6,59,97,5,0,23,1,4,9,19,3,10,0,9,2,10,0,20,0,7,0,7.7
"140","United Arab Emirates",55,0,70,1,95,-4.5,76.1,-9.7,79.6,4.9,80.7,-3.1,81.3,-2.5,82.8,0.4,45,5,60,10,3.6,0,0,22.4,28.2,9.3,599.8,3.6,4,64479,2.3,10065.8,12.1,29,117,3,8,6,9,6,4,9,6,0,9,5,0,10,0,0,0,7,5,10,0,0,0,10,0,0,0,8,5,10,0,7,5,0,0,0,0,0,0,5,8,8,0,10,0,0,5,10,0,0,0,10,0,0,0,1,7,2,5,7,5,7,5,5,0,6,3,-2.24084052620672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,149,6,1,19,4,8,8,4,8,2,0,48,4,10,0,0,0,10,0,16,3.6
"141","United Kingdom",90,0,78,2,64.9,2,39,8.7,86,-5.1,71.8,-3.8,76.4,2,88,0,90,0,80,0,1,45,20,32.9,45.1,64.5,2548.9,2.6,1.7,39511,1.5,72241,89.5,50,8,1,5,7,4,7,7,9,5,1,2,10,0,10,0,0,0,10,0,10,0,0,1,9,9,0,3,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,8,10,0,10,0,10,0,0,0,10,0,0,0,7,0,7,8,10,0,10,0,10,0,9,3,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,3,9,0,18,5,2,22,3,5,4,17,2,8,0,15,7,6,0,45,0,2,0,6.3
"142","United States",80,0,74,1,65.6,-0.6,54.7,2.9,84.7,-4.1,91.4,-7.1,77,0.4,87,0,70,0,70,0,1.5,39.6,35,25.4,38.9,319,17418.9,2.4,2.2,54597,1.6,92397,104.8,39,17,1,7,6,5,6,9,7,9,5,4,10,0,9,9,0,4,7,5,9,9,0,2,9,9,0,4,9,4,10,0,10,0,10,0,10,0,10,0,10,0,9,1,10,0,10,0,9,7,1,0,10,0,0,0,8,0,7,0,10,0,10,0,10,0,9,2,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,3,8,75,28,6,7,17,2,6,0,15,2,8,0,15,8,5,0,43,5,0,43,6.2
"143","Uruguay",70,0,73,0,77.2,0.1,67.6,2.5,75.3,2.7,62.5,-1.8,71.3,-0.3,80.6,-1.2,80,0,30,0,4.7,30,25,27.4,32.9,3.4,70,3.3,5.4,20556,8.9,2754.5,62.8,73,43,2,4,5,4,6,6,6,9,7,7,10,0,10,0,0,0,10,0,9,9,0,3,9,9,0,3,10,0,10,0,10,0,5,0,5,0,5,0,8,3,8,4,10,0,10,5,10,0,0,0,10,0,0,0,8,0,7,5,10,0,10,0,10,0,9,4,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,8,30,37,6,5,18,0,5,9,15,5,7,0,23,8,9,0,30,0,7,0,7
"144","Venezuela",5,0,19,-1,74.9,-0.1,56.7,4.7,45.3,3.7,29.5,5.3,33.8,-9,63.2,0.4,0,0,10,-10,8.4,34,34,13.9,38,30.5,538.9,-4,1.1,17695,62.2,320,45.6,20,161,4,3,1,4,2,1,0,0,56,3,10,0,10,0,0,0,5,0,9,9,0,3,9,5,2,4,8,9,10,0,10,0,10,0,10,0,10,0,10,0,6,3,10,0,5,5,10,0,0,0,9,7,1,0,1,3,2,3,5,0,2,5,5,0,5,1,0,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,7,5,5,52,135,7,0,16,3,5,8,16,0,0,0,70,4,7,0,34,0,5,0,8.6
"145","Vietnam",15,0,31,0,79.3,0.2,75.1,-2,58.3,-3.2,62.6,-0.3,70.6,3.8,83,4.4,25,10,40,10,3.5,35,22,18.9,28.8,90.6,510.7,6,5.9,5635,4.1,9200,58.7,19,124,4,4,4,9,4,9,9,4,1,5,5,0,10,0,0,0,10,0,10,0,0,0,10,0,0,0,9,0,10,0,7,5,5,0,5,0,5,0,7,5,8,6,0,0,5,5,10,0,0,0,9,2,8,0,0,0,1,8,7,5,7,5,5,0,5,8,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,3,5,97,125,9,2,8,7,4.78287136771008,-2.84951526453232,31.5594109404515,-0.394562696336905,7,0,35,0,5,0,36,0,6,0,2.3
"146","Yemen",30,0,19,1,-65.7793870299218,-16.7519930144201,-61.3082505561331,-31.165700910557,51.9,-2.1,54.4,-2.7,71,2.5,165.32747184897,129.097542072786,216.324272665818,-49.8470961054119,30,0,-42.8017725921706,20,20,-1.43179795424993,30.8,27.5,103.6,-0.2,0.4,3774,8.2,-577.6,48.9,4,25,160,284.044002232169,2,6,7,3,6,7,0,0,0,0,92,7,0,0,0,0,55,0,0,3,48,6,0,1,6,2,7,5,0,0,0,0,0,0,4,6,4,0,51.6753006429404,-89.5983961621475,0,0,0,25.7314026138231,-4.88668935594718,3,1,-67.3749443462311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,162,8,5,11,1,9,0,4,1,4,0,34,4,10,0,15,0,8,0,27,0,9,0,7,6,2,5,2,8,3,3,4,2,3,3,3,8,17.4
"147","Zambia",30,0,38,0,73.3,1.4,81.1,3.1,66.4,-1.8,48.3,2.3,72.6,-0.6,78.2,1.4,50,-5,50,0,3.4,35,35,14.7,25.1,15,61,5.4,7.1,4064,7.9,2483.8,31.1,31,116,3,9,4,2,4,1,7,9,5,3,10,0,10,0,0,0,7,5,10,0,0,0,10,0,0,0,9,5,9,9,7,5,5,0,5,0,5,0,7,5,8,3,0,0,10,1,0,3,7,4,0,-27.3579010461924,50.977760311021,-23.361328766523,6,8,10,0,0,0,5,0,2,5,0,0,0,0,0,0,9.69617385447392,4,2,6,1,123,4,8,23,8,10,0,0,2,4,0,31,4,7,0,35,0,4,0,43,0,5,5,6,1,4,0,3,8,5,13.3
"148","Zimbabwe",10,0,21,0,60.8,-5.8,73.6,-0.6,37.6,0.5,30,6.3,79.1,3.7,50.2,-8.2,10,10,10,0,14.9,51.5,25,25.3,29.7,13.3,27.1,3.2,8.3,2046,-0.2,544.8,54,62,143,4,3,3,8,3,5,7,3,6,7,5,0,10,0,0,0,5,0,10,0,0,0,10,0,0,0,8,0,10,0,7,5,5,0,5,0,5,0,7,5,7,6,0,0,5,5,10,0,0,0,10,0,0,0,2,0,3,8,17.1901639082021,1.93083253717745,7,5,6,7,0,0,0,0,10,0,5,0,0,0,10,0,5,0,0.672541802714371,3,3,5,17,148,4,6,24,4,10,0,0,2,6,0,25,6,4,0,52,0,4,0,52,0,4,5.4
